policy,mean_loss,total_fit_seconds,respecifications,n_series,relative_loss,relative_time,mean_respecifications_per_series
trigg_cap8_tau0.6,0.639234835960443,163069.610000019,430262,47982,0.999769103640931,0.273867080663435,8.96715434954775
trigg_cap8_tau0.5,0.63924387997974,175517.877999982,467554,47982,0.999783248569456,0.294773310932003,9.74436246925931
trigg_cap8_tau0.4,0.639355317907997,187291.636999967,502757,47982,0.999957538503886,0.314546737787934,10.4780334292026
full_update,0.639382467044136,595433.410999921,1727352,47982,1,1,36
trigg_tau0.4,0.639476002285991,180795.185999988,483363,47982,1.00014628996989,0.303636280161666,10.0738401900713
trigg_tau0.5,0.639491236378476,159016.396999972,418526,47982,1.00017011622925,0.267059916461411,8.72256262765204
brown_tau0.6,0.639548129255245,203845.476000012,552339,47982,1.00025909720652,0.34234806484522,11.5113792672252
brown_cap8_tau0.6,0.639550626120954,203990.325000017,552776,47982,1.00026300232722,0.342591331342077,11.5204868492351
brown_cap8_tau0.5,0.639623371711239,206280.134000085,559619,47982,1.00037677709277,0.346436948597956,11.663102830228
fixed_f6,0.639628115730292,115700.591000034,287892,47982,1.00038419678177,0.194313232785739,6
brown_tau0.5,0.639640422565864,206188.221999973,559322,47982,1.00040344478465,0.346282587088483,11.6569130090451
brown_cap8_tau0.4,0.639691412850081,208280.698999989,565588,47982,1.00048319405343,0.349796795329675,11.787503647201
brown_tau0.4,0.639702300206813,208208.290999986,565350,47982,1.00050022197849,0.349675189792153,11.7825434537952
fixed_f8,0.639782466462487,99771.7330000274,239910,47982,1.00062560273227,0.167561529394998,5
trigg_tau0.6,0.640435063087189,131094.604999997,335500,47982,1.00164626979516,0.220166692997371,6.99220541036222
adaptive_cap8_tau0.8,0.640799628015105,168839.882999955,244600,47982,1.00221645266177,0.283557959430626,5.09774498770372
fixed_f12,0.640819178700525,67766.1610000177,143946,47982,1.00224703011177,0.113809806013769,3
parameter_only,0.644951356626424,35599.2700000116,47982,47982,1.00870979401114,0.0597871556119587,1
